No	Label	FASTQ_URI
289	E6.5_c21	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147610/ERR1147610.fastq.gz
290	E6.5_c22	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147611/ERR1147611.fastq.gz
291	E6.5_c23	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147612/ERR1147612.fastq.gz
292	E6.5_c24	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147613/ERR1147613.fastq.gz
293	E6.5_c25	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147614/ERR1147614.fastq.gz
294	E6.5_c26	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147615/ERR1147615.fastq.gz
295	E6.5_c27	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147616/ERR1147616.fastq.gz
296	E6.5_c28	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147617/ERR1147617.fastq.gz
297	E6.5_c29	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147618/ERR1147618.fastq.gz
298	E6.5_c30	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147619/ERR1147619.fastq.gz
299	E6.5_c31	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147620/ERR1147620.fastq.gz
300	E6.5_c32	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147621/ERR1147621.fastq.gz
301	E6.5_c33	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147622/ERR1147622.fastq.gz
302	E6.5_c34	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147623/ERR1147623.fastq.gz
303	E6.5_c35	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147624/ERR1147624.fastq.gz
304	E6.5_c36	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147625/ERR1147625.fastq.gz
305	E6.5_c37	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147626/ERR1147626.fastq.gz
306	E6.5_c38	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147627/ERR1147627.fastq.gz
307	E6.5_c39	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147628/ERR1147628.fastq.gz
308	E6.5_c40	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147629/ERR1147629.fastq.gz
309	E6.5_c41	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147630/ERR1147630.fastq.gz
310	E6.5_c42	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147631/ERR1147631.fastq.gz
311	E6.5_c43	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147632/ERR1147632.fastq.gz
312	E6.5_c44	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147633/ERR1147633.fastq.gz
313	E6.5_c45	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147634/ERR1147634.fastq.gz
314	E6.5_c46	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147635/ERR1147635.fastq.gz
315	E6.5_c47	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147636/ERR1147636.fastq.gz
316	E6.5_c48	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147637/ERR1147637.fastq.gz
317	E6.5_c49	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147638/ERR1147638.fastq.gz
318	E6.5_c50	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147639/ERR1147639.fastq.gz
319	E6.5_c51	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147640/ERR1147640.fastq.gz
320	E6.5_c52	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147641/ERR1147641.fastq.gz
321	E6.5_c53	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147642/ERR1147642.fastq.gz
322	E6.5_c54	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147643/ERR1147643.fastq.gz
323	E6.5_c55	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147644/ERR1147644.fastq.gz
324	E6.5_c56	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147645/ERR1147645.fastq.gz
325	E6.5_c57	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147646/ERR1147646.fastq.gz
326	E6.5_c58	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147647/ERR1147647.fastq.gz
327	E6.5_c59	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147648/ERR1147648.fastq.gz
328	E6.5_c60	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147649/ERR1147649.fastq.gz
